,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,j7Mra3Cgi7HakV1IhX8nSQ,roscos-burger-inn-el-paso,Rosco's Burger Inn,https://s3-media2.fl.yelpcdn.com/bphoto/um-QVx-Jlk4Z62OlXsu-aw/o.jpg,False,https://www.yelp.com/biz/roscos-burger-inn-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,105,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'diners', 'title': 'Diners'}]",4.5,"{'latitude': 31.8066825866699, 'longitude': -106.446746826172}",['delivery'],$,"{'address1': '3829 Tompkins Rd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['3829 Tompkins Rd', 'El Paso, TX 79930']}",+19155649028,(915) 564-9028,2677.530748441466
1,YMILLnOrbpUE_rQVORk0kA,toro-burger-bar-el-paso-3,Toro Burger Bar,https://s3-media1.fl.yelpcdn.com/bphoto/yzyp94PxYCcZM_AC3f7nyw/o.jpg,False,https://www.yelp.com/biz/toro-burger-bar-el-paso-3?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,392,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.5,"{'latitude': 31.788878, 'longitude': -106.399074}","['pickup', 'delivery']",$$,"{'address1': '6590 Montana Ave', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['6590 Montana Ave', 'El Paso, TX 79925']}",+19157740990,(915) 774-0990,3160.2291500365914
2,_irWJon4jFDDAJqcWuVXtw,3740-charbroiled-burgers-el-paso,3740 Charbroiled Burgers,https://s3-media4.fl.yelpcdn.com/bphoto/n3lIgWBdKVSNr7nJ4_MmAQ/o.jpg,False,https://www.yelp.com/biz/3740-charbroiled-burgers-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,11,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.745091, 'longitude': -106.286235}",['delivery'],,"{'address1': '1613 N Zaragoza', 'address2': 'Ste 203', 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['1613 N Zaragoza', 'Ste 203', 'El Paso, TX 79936']}",+19152754098,(915) 275-4098,14570.221889152679
3,kW3zGBhu42cgdShic4sing,orange-cow-burgers-el-paso-2,Orange Cow Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/mQHMbI3XgBruh9sFItxZAw/o.jpg,False,https://www.yelp.com/biz/orange-cow-burgers-el-paso-2?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,132,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.8618461, 'longitude': -106.5586447}",['delivery'],$$,"{'address1': '955 Resler', 'address2': 'Ste 110', 'address3': None, 'city': 'El Paso', 'zip_code': '79932', 'country': 'US', 'state': 'TX', 'display_address': ['955 Resler', 'Ste 110', 'El Paso, TX 79932']}",+19153000251,(915) 300-0251,14321.707736645618
4,5oXYjyj1w7JDcDYvJdfsxQ,punk-burger-el-paso,Punk Burger,https://s3-media2.fl.yelpcdn.com/bphoto/zlD1kHbhGik0yfNdevjxdw/o.jpg,False,https://www.yelp.com/biz/punk-burger-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,4,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.78220068368919, 'longitude': -106.5061344439578}","['pickup', 'delivery']",,"{'address1': '3233 N Mesa St', 'address2': 'Ste 201', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['3233 N Mesa St', 'Ste 201', 'El Paso, TX 79902']}",+19153134494,(915) 313-4494,8852.612306860028
5,2ulu6amCjyq7xiqhJTeaIQ,mrbeast-burger-el-paso,MrBeast Burger,https://s3-media2.fl.yelpcdn.com/bphoto/gL6Ki9vGPuUFA5hnKEw0ZA/o.jpg,False,https://www.yelp.com/biz/mrbeast-burger-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,1,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.712051391601562, 'longitude': -106.32512664794922}",[],,"{'address1': '', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79907', 'country': 'US', 'state': 'TX', 'display_address': ['El Paso, TX 79907']}",+18772327898,(877) 232-7898,13880.104774204485
6,ZT8_DRGxo0WZN2smLaswRQ,los-ii-brothers-burgers-canutillo,Los II Brothers Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/YQrtQMoK_USNShkldTmqnA/o.jpg,False,https://www.yelp.com/biz/los-ii-brothers-burgers-canutillo?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,9,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.9006269816349, 'longitude': -106.599105586697}",[],,"{'address1': '6720 Doniphan Dr', 'address2': 'Ste A', 'address3': None, 'city': 'Canutillo', 'zip_code': '79835', 'country': 'US', 'state': 'TX', 'display_address': ['6720 Doniphan Dr', 'Ste A', 'Canutillo, TX 79835']}",+19156424167,(915) 642-4167,19677.557629636427
7,ueDxdoIWNpNB2y3a8GDFCQ,chuco-burgers-and-dogs-el-paso,Chuco Burgers and Dogs,https://s3-media1.fl.yelpcdn.com/bphoto/nMP1ryda1uz2f_2IhqMKBw/o.jpg,False,https://www.yelp.com/biz/chuco-burgers-and-dogs-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,132,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.7470528861114, 'longitude': -106.341873407364}",[],$,"{'address1': '1201 Lafayette Dr', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79907', 'country': 'US', 'state': 'TX', 'display_address': ['1201 Lafayette Dr', 'El Paso, TX 79907']}",+19155988707,(915) 598-8707,10232.358237531073
8,0693IPLe34HLDdfAm7cSDw,border-burger-bar-el-paso,Border Burger Bar,https://s3-media4.fl.yelpcdn.com/bphoto/SoHOTlsVOZF4k--WJIKlIw/o.jpg,False,https://www.yelp.com/biz/border-burger-bar-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,147,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.0,"{'latitude': 31.80629, 'longitude': -106.454392}","['pickup', 'delivery']",$$,"{'address1': '3329 Fort Blvd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['3329 Fort Blvd', 'El Paso, TX 79930']}",+19155622867,(915) 562-2867,3389.1357407097926
9,B6T2U4xLlWkJRZE8MPPt1w,burger-bros-el-paso,Burger Bros,https://s3-media2.fl.yelpcdn.com/bphoto/O8umNucrEonakz5uogX63Q/o.jpg,False,https://www.yelp.com/biz/burger-bros-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,29,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 31.766063, 'longitude': -106.36288}",['pickup'],,"{'address1': '9300 Acer Ave', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['9300 Acer Ave', 'El Paso, TX 79925']}",+19159969535,(915) 996-9535,7333.632244342041
10,4Bb4heAnpco4Y10WyhkuJA,rockstar-burger-bar-el-paso,Rockstar Burger Bar,https://s3-media2.fl.yelpcdn.com/bphoto/OHJNw4U_yXHjILv4YDEPFg/o.jpg,False,https://www.yelp.com/biz/rockstar-burger-bar-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,131,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",4.0,"{'latitude': 31.75979, 'longitude': -106.48694}",['delivery'],$$,"{'address1': '217 N Stanton', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79901', 'country': 'US', 'state': 'TX', 'display_address': ['217 N Stanton', 'El Paso, TX 79901']}",+19158814475,(915) 881-4475,8621.83747138095
11,09bNDXGlP3n_zfqgeWtb8A,west-texas-chophouse-el-paso-5,West Texas Chophouse,https://s3-media1.fl.yelpcdn.com/bphoto/_UtFe2QsFIZY2EiAZZQj0g/o.jpg,False,https://www.yelp.com/biz/west-texas-chophouse-el-paso-5?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,583,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 31.7809409, 'longitude': -106.3926958}","['pickup', 'delivery']",$$,"{'address1': '1135 Airway Blvd', 'address2': 'Ste 7B', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['1135 Airway Blvd', 'Ste 7B', 'El Paso, TX 79925']}",+19157752467,(915) 775-2467,4219.914802839505
12,MxY33aARHlyNgXyxi-5NLQ,blazing-tree-brewery-el-paso,Blazing Tree Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/BJm5LYCHK3muEvwy2tI0GQ/o.jpg,False,https://www.yelp.com/biz/blazing-tree-brewery-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,59,"[{'alias': 'breweries', 'title': 'Breweries'}]",5.0,"{'latitude': 31.738667, 'longitude': -106.318464}",[],$$,"{'address1': '11426 Rojas Dr', 'address2': 'Ste A-13', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['11426 Rojas Dr', 'Ste A-13', 'El Paso, TX 79936']}",+19153073627,(915) 307-3627,12495.809784281631
13,fV6VSR3-xM92W_YlcQQjNg,chase-the-taste-el-paso,Chase the Taste,https://s3-media4.fl.yelpcdn.com/bphoto/oq88Xty-tQaNGBPRAlNHjg/o.jpg,False,https://www.yelp.com/biz/chase-the-taste-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,270,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 31.9249073523, 'longitude': -106.440157409224}","['pickup', 'delivery']",$,"{'address1': '10771 Gateway Blvd S', 'address2': 'Ste N107', 'address3': None, 'city': 'El Paso', 'zip_code': '79934', 'country': 'US', 'state': 'TX', 'display_address': ['10771 Gateway Blvd S', 'Ste N107', 'El Paso, TX 79934']}",+19152709199,(915) 270-9199,12759.415347014654
14,l-23zOV9XsCpUlV785oq4A,panda-burgers-el-paso,Panda Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/P-wSA76GKNDpmjQMkfG9ug/o.jpg,False,https://www.yelp.com/biz/panda-burgers-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,145,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.782762, 'longitude': -106.323660357394}","['pickup', 'delivery']",$,"{'address1': '10780 Pebble Hills Blvd', 'address2': 'Ste B3', 'address3': '', 'city': 'El Paso', 'zip_code': '79935', 'country': 'US', 'state': 'TX', 'display_address': ['10780 Pebble Hills Blvd', 'Ste B3', 'El Paso, TX 79935']}",+19155942820,(915) 594-2820,9568.532284835082
15,_j6V7cmKSMzhy95HGyGhAw,smashburger-el-paso,Smashburger,https://s3-media2.fl.yelpcdn.com/bphoto/ug6CdYb2z96qZQhnGcpnJw/o.jpg,False,https://www.yelp.com/biz/smashburger-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,95,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.5,"{'latitude': 31.81751, 'longitude': -106.42760331416184}",[],$$,"{'address1': '1611 Haan Rd', 'address2': 'Spc K-123', 'address3': '', 'city': 'El Paso', 'zip_code': '79906', 'country': 'US', 'state': 'TX', 'display_address': ['1611 Haan Rd', 'Spc K-123', 'El Paso, TX 79906']}",+19155659464,(915) 565-9464,1042.802208246627
16,-tXyy8-F-eW8uE8T3fgjxA,the-hoppy-monk-el-paso-el-paso,The Hoppy Monk - El Paso,https://s3-media1.fl.yelpcdn.com/bphoto/E2mfIuh8dRqEdbVFCGNy2g/o.jpg,False,https://www.yelp.com/biz/the-hoppy-monk-el-paso-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,671,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 31.792461, 'longitude': -106.5087999}",['delivery'],$$,"{'address1': '4141 N Mesa St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4141 N Mesa St', 'El Paso, TX 79902']}",+19153073263,(915) 307-3263,8741.90307236082
17,vRk05TnW7wZEfQBDUHFqgQ,star-burgers-and-fries-el-paso,Star Burgers & Fries,https://s3-media3.fl.yelpcdn.com/bphoto/75QnxOSEM-tgjuhIx8oUDA/o.jpg,False,https://www.yelp.com/biz/star-burgers-and-fries-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,10,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 31.7494876, 'longitude': -106.325156}",[],,"{'address1': '11135 Pellicano Dr', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79935', 'country': 'US', 'state': 'TX', 'display_address': ['11135 Pellicano Dr', 'El Paso, TX 79935']}",+18582324503,(858) 232-4503,11244.825163057394
18,9ZlGn0Q-OHkvQm0UtHzvHA,not-just-burgers-el-paso,Not Just Burgers,https://s3-media1.fl.yelpcdn.com/bphoto/_qq1QiPiDKZbYZ9kzZZAnA/o.jpg,False,https://www.yelp.com/biz/not-just-burgers-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,56,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 31.735929, 'longitude': -106.287406}","['pickup', 'delivery']",$,"{'address1': '11985 Pelicano Dr', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['11985 Pelicano Dr', 'El Paso, TX 79936']}",+19153193819,(915) 319-3819,15019.856602271084
19,ZXUNhDY-j1qV4LZPxmSOCg,tuscan-cattle-el-paso-2,Tuscan Cattle,https://s3-media1.fl.yelpcdn.com/bphoto/XPz8DOhaxdumUekyT7DfZQ/o.jpg,False,https://www.yelp.com/biz/tuscan-cattle-el-paso-2?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,24,"[{'alias': 'meats', 'title': 'Meat Shops'}, {'alias': 'burgers', 'title': 'Burgers'}]",5.0,"{'latitude': 31.8325567, 'longitude': -106.5366101}","['pickup', 'delivery']",,"{'address1': '6415 N Mesa St', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79912', 'country': 'US', 'state': 'TX', 'display_address': ['6415 N Mesa St', 'El Paso, TX 79912']}",+19152199911,(915) 219-9911,11348.197457370996
20,GedsiJNMM3ItLM_Z2RYlAg,papa-erics-burgers-el-paso-4,Papa Eric's Burgers,https://s3-media1.fl.yelpcdn.com/bphoto/mvQjt6MTJklZAzn124Miow/o.jpg,False,https://www.yelp.com/biz/papa-erics-burgers-el-paso-4?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,69,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.7993583679199, 'longitude': -106.461624145508}",['delivery'],$,"{'address1': '2519 N Piedras St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['2519 N Piedras St', 'El Paso, TX 79930']}",+19155657272,(915) 565-7272,4246.285655204653
21,6wubP95aHYh9WjVQCkJcJA,chachis-burgers-el-paso,Chachi's Burgers,https://s3-media4.fl.yelpcdn.com/bphoto/tyTLfoV2zEnzaMKvCOdGWQ/o.jpg,False,https://www.yelp.com/biz/chachis-burgers-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,28,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 31.9055372383327, 'longitude': -106.406363412883}",['delivery'],$,"{'address1': '10101-10199 Grouse Rd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['10101-10199 Grouse Rd', 'El Paso, TX 79924']}",,,10517.823757691875
22,k_kftTe4dkTQjuIPfi9dGQ,track-one-el-paso,Track One,https://s3-media3.fl.yelpcdn.com/bphoto/iJ6X6jbMxbDKRYrRQ0r5fg/o.jpg,False,https://www.yelp.com/biz/track-one-el-paso?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,433,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.5,"{'latitude': 31.785854, 'longitude': -106.397978}",['delivery'],$$,"{'address1': '1330 Robert E Lee Rd', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['1330 Robert E Lee Rd', 'El Paso, TX 79925']}",+19157792170,(915) 779-2170,3485.120745321821
23,ynz4JO8syFz78IlfT8UGDQ,bold-burgers-and-tacos-el-paso-5,Bold Burgers & Tacos,https://s3-media1.fl.yelpcdn.com/bphoto/bet_QokPPUjlfwVwY5h1lA/o.jpg,False,https://www.yelp.com/biz/bold-burgers-and-tacos-el-paso-5?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,4,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"{'latitude': 31.79757, 'longitude': -106.51043}","['pickup', 'delivery']",,"{'address1': '4400 N Mesa', 'address2': 'Ste 10', 'address3': '', 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4400 N Mesa', 'Ste 10', 'El Paso, TX 79902']}",+19152025807,(915) 202-5807,8792.472009117286
24,UG-nrOxyZcPi5BfotyyVKw,papa-erics-burgers-el-paso-3,Papa Eric's Burgers,https://s3-media3.fl.yelpcdn.com/bphoto/sF15vJ3KvN4MpFEgkpXDuA/o.jpg,False,https://www.yelp.com/biz/papa-erics-burgers-el-paso-3?adjust_creative=46Qdap-Yvtt11BlS0MAHXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=46Qdap-Yvtt11BlS0MAHXA,40,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.0,"{'latitude': 31.770005822931, 'longitude': -106.348469629884}",['delivery'],$,"{'address1': '2066 Wedgewood Dr', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['2066 Wedgewood Dr', 'El Paso, TX 79925']}",+19152590223,(915) 259-0223,8116.449873933812
